                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.89299,                0.82224,                 1.1905,                0.83654,                0.76273,                0.83411,                0.58138,                 1.0166,                0.80239,                 1.2008,               0.000515,               0.000515,               0.000515
                     77,                0.90037,                  0.823,                 1.1918,                0.85596,                0.74668,                0.83254,                0.57757,                 1.0163,                0.79875,                  1.201,              0.0004952,              0.0004952,              0.0004952
                     78,                0.88685,                0.80289,                 1.1769,                 0.8407,                0.75557,                0.83243,                0.57998,                 1.0153,                0.79344,                  1.203,              0.0004754,              0.0004754,              0.0004754
                     79,                0.88568,                0.80153,                 1.1804,                 0.8293,                0.75697,                0.83051,                0.57756,                 1.0131,                 0.7996,                 1.2046,              0.0004556,              0.0004556,              0.0004556
                     80,                0.88929,                0.80814,                 1.1841,                0.83458,                0.75965,                0.83431,                0.58217,                 1.0102,                0.79135,                 1.2052,              0.0004358,              0.0004358,              0.0004358
                     81,                0.87125,                 0.7853,                 1.1787,                  0.846,                0.75425,                 0.8347,                0.58104,                 1.0131,                0.79174,                 1.2098,               0.000416,               0.000416,               0.000416
                     82,                0.87083,                0.77859,                 1.1736,                 0.8255,                0.76242,                0.83588,                0.58172,                 1.0135,                0.78295,                 1.2063,              0.0003962,              0.0003962,              0.0003962
                     83,                0.88172,                0.78716,                 1.1723,                0.83027,                0.75921,                0.83211,                0.58207,                 1.0186,                 0.7897,                 1.2092,              0.0003764,              0.0003764,              0.0003764
                     84,                0.87339,                0.77216,                 1.1671,                0.84351,                 0.7451,                0.83261,                 0.5787,                 1.0159,                0.78952,                 1.2027,              0.0003566,              0.0003566,              0.0003566
                     85,                0.86296,                0.77913,                 1.1672,                0.82578,                 0.7655,                0.83435,                0.58303,                 1.0137,                0.78466,                 1.2023,              0.0003368,              0.0003368,              0.0003368
                     86,                0.84382,                0.75728,                 1.1571,                0.83371,                0.75933,                0.83391,                 0.5815,                 1.0123,                0.79101,                 1.2046,               0.000317,               0.000317,               0.000317
                     87,                0.85307,                0.76471,                 1.1596,                0.82203,                0.76673,                0.83672,                0.58106,                 1.0153,                 0.7873,                 1.2052,              0.0002972,              0.0002972,              0.0002972
                     88,                0.85351,                0.76505,                  1.157,                0.84254,                0.76113,                0.83692,                0.58445,                 1.0071,                0.77916,                 1.2016,              0.0002774,              0.0002774,              0.0002774
                     89,                0.84771,                0.75741,                 1.1535,                0.84307,                0.76082,                0.83592,                0.58414,                 1.0143,                0.77783,                  1.205,              0.0002576,              0.0002576,              0.0002576
                     90,                0.85102,                0.75442,                  1.161,                0.83836,                0.76057,                 0.8353,                0.58488,                 1.0138,                0.78293,                 1.2033,              0.0002378,              0.0002378,              0.0002378
                     91,                0.79034,                0.64309,                 1.1037,                0.84457,                0.75378,                0.83006,                0.57971,                 1.0118,                0.78405,                 1.2057,               0.000218,               0.000218,               0.000218
                     92,                0.79504,                 0.6254,                 1.1036,                0.83555,                0.76026,                0.83423,                0.58166,                 1.0155,                0.78128,                 1.2056,              0.0001982,              0.0001982,              0.0001982
                     93,                0.77361,                0.60675,                 1.0889,                0.84106,                0.76086,                0.83629,                0.58222,                 1.0106,                0.78104,                 1.2037,              0.0001784,              0.0001784,              0.0001784
                     94,                0.77554,                0.60735,                 1.0927,                0.84022,                 0.7618,                0.83353,                0.58246,                  1.013,                0.77819,                 1.2068,              0.0001586,              0.0001586,              0.0001586
                     95,                0.76803,                0.59913,                 1.0871,                0.85678,                0.75008,                0.83277,                0.58306,                 1.0049,                0.77112,                 1.2006,              0.0001388,              0.0001388,              0.0001388
                     96,                0.76344,                0.60968,                 1.0837,                0.85376,                0.74792,                0.83171,                0.58062,                 1.0087,                0.77759,                 1.1997,               0.000119,               0.000119,               0.000119
                     97,                0.76488,                0.59514,                 1.0802,                0.84599,                0.75594,                0.83259,                 0.5824,                 1.0099,                0.77343,                 1.2015,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76015,                0.58593,                   1.08,                0.84141,                0.76334,                0.83302,                0.58247,                 1.0108,                0.77567,                 1.2055,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.74397,                0.57475,                 1.0746,                0.83656,                0.76705,                0.83281,                0.58121,                  1.016,                0.77204,                 1.2096,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.7514,                  0.578,                  1.069,                0.84225,                 0.7693,                0.83374,                0.58149,                 1.0115,                0.77045,                 1.2063,               3.98e-05,               3.98e-05,               3.98e-05
